R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3	R0	R1	R2	R3	R4	R5	R6	signedCPS1	signedCPS2	signedCPS3	signedCPS4	signedCPS5	signedCPS6	FDR1	FDR2	FDR3	FDR4	FDR5	FDR6
ENSG00000113552	8.7667	8.82536	8.88349	9.00216	8.28884	8.72437	8.83892	8.89417	9.45569	9.11325	8.77	8.08161	9.16429	9.35907	8.91049	8.80762	20.1294	21.8401	21.5308	21.4717	20.7668	19.2713	20.6054	19.5424	21.8321	22.1117	22.3949	22.3527	20.937	21.6515	21.5225	21.0264	0.796036761	0.757726895	0.592773927	0.3273763065	0.341816018	0.393668244	0.3155729301	-0.345	-0.549	-0.699	0.266	0.309	-0.367	0.468831589779	0.260225903614	0.1613	0.53812719715	0.503045097759	0.446549303944
ENSG00000113643	13.8218	13.8763	13.9309	14.0405	14.2306	14.2042	14.1783	14.1589	13.9145	13.9762	14.0382	14.164	14.2476	14.2546	14.1302	14.0293	24.5981	24.4812	24.8142	24.7481	24.5789	24.4169	24.5396	24.2842	24.7849	24.5704	24.7695	24.6837	24.6094	24.3579	24.7106	24.6947	0.547453755	0.598307713	0.534867555	0.456099654	0.437652853	0.448754033	0.447419069	0.308	-0.396	-0.614	-0.215	0.156	-0.121	0.504085438547	0.411357941313	0.214613445378	0.575196382684	0.608826802375	0.622227539141
ENSG00000113649	8.50147	8.65245	8.80432	9.11328	8.5847	8.52055	8.65564	8.77837	8.54132	8.54132	8.54132	8.54132	8.52519	8.5837	8.64399	8.68988	22.4259	21.0602	22.2391	21.4563	22.2183	21.7582	21.465	22.0339	22.0138	21.9142	21.7619	21.8857	21.854	21.6268	21.8397	20.7738	0.412413845	0.490578925	0.457580692	0.462402165	0.440191466	0.429226508	0.406443375	0.383	-0.259	0.193	-0.232	-0.214	-0.263	0.426763480129	0.543260326276	0.589373647712	0.56357783586	0.575878435622	0.540346054486
ENSG00000113657	11.5729	11.5408	11.509	11.4472	11.079	11.2445	11.4117	11.5451	11.6277	11.5903	11.5528	11.4782	11.1401	11.2551	11.3339	11.3879	22.8105	22.8165	22.9535	22.9324	22.0192	20.8363	21.6442	19.5864	22.8971	22.1273	22.4224	22.4538	22.0769	21.1193	21.3224	21.3152	0.524848491	0.584904108	0.565844972	0.324509863	0.2547408324	0.310971496	0.1819844198	0.381	-0.385	-0.735	-0.362	0.32	-0.555	0.429470563321	0.424548141708	0.141171792153	0.451926934636	0.492963096852	0.256588024565
ENSG00000113712	7.27215	7.34089	7.41018	7.5515	7.60809	7.65274	7.59593	7.54471	7.23686	7.30279	7.36853	7.49967	7.31114	7.25348	7.27531	7.29485	18.1979	19.6947	18.3455	17.6562	17.2883	16.9884	18.0059	18.6253	18.8043	18.3556	19.3439	18.6345	17.3633	18.295	16.8642	17.3121	0.758997076	0.667226653	0.333758023	0.2927104351	0.328013877	0.346044419	0.480762272	-0.409	-0.788	-0.273	0.273	0.248	0.509	0.395951576293	0.111217753121	0.532836953869	0.532836953869	0.551756124598	0.294043019823
ENSG00000113719	13.1734	13.0486	12.924	12.6738	12.2665	12.6872	12.9266	13.0961	12.8913	12.9441	12.9967	13.1012	12.857	12.9167	12.9567	12.981	22.589	23.5732	22.9175	23.7303	23.4192	23.0754	23.1833	23.3508	22.7449	22.9401	22.3266	22.8836	23.3012	22.9513	22.96	22.6829	0.595000388	0.408822863	0.615105429	0.559128631	0.5204348	0.519023097	0.509752503	-0.556	0.651	-0.355	-0.273	-0.187	-0.224	0.256010780287	0.189469879518	0.45810755814	0.532836953869	0.592700300519	0.568873458991
ENSG00000113758	13.4281	13.4361	13.4444	13.4631	13.3379	13.202	12.9849	12.8097	13.5759	13.5648	13.5533	13.5287	13.4302	13.3125	13.0972	12.9237	23.8685	24.4847	24.1684	24.1745	23.9739	23.6577	23.1384	22.9307	24.1506	24.1255	23.9869	24.05	23.7282	22.9638	22.4368	22.2396	0.611531097	0.525321191	0.515377027	0.450765755	0.274261452	0.263098871	0.263641946	-0.436	-0.22	-0.386	-0.827	-0.15	0.101	0.364558910598	0.571724148327	0.42347147541	0.0908747826087	0.611159989922	0.626784186854
ENSG00000113810	11.7735	11.7468	11.7201	11.6665	12.0177	11.5759	11.1336	10.8019	11.6508	11.6784	11.7057	11.7606	11.2156	11.2152	11.4446	11.5307	23.8825	23.8123	24.0834	24.0873	24.0579	23.4841	23.1206	22.4009	23.8093	23.7583	23.9354	23.9849	23.6657	23.487	23.4458	23.4422	0.531650915	0.550903803	0.549349577	0.492827037	0.363838018	0.356438373	0.351655961	0.205	-0.198	-0.389	-0.744	-0.142	-0.152	0.581946970422	0.586682239491	0.419644513827	0.136064159292	0.614610812153	0.610480417755
ENSG00000113811	13.012	13.3437	13.6761	14.3466	14.789	14.3619	13.7042	13.1816	12.977	13.3695	13.7617	14.5487	15.086	14.5214	13.6392	12.9424	17.5275	18.8024	18.7386	18.334	19.1734	20.2023	20.3366	19.1861	17.9644	18.2301	17.8188	18.3861	18.9905	19.4249	19.3922	19.3296	0.679231491	0.476119585	0.465613391	0.488659793	0.51532556	0.527299413	0.50039626	-0.621	-0.258	0.238	0.26	0.244	-0.328	0.209717897538	0.543876124567	0.559005560308	0.542161605585	0.554555859204	0.485464952172
ENSG00000114021	12.6277	12.5216	12.4159	12.2053	11.6944	12.1001	12.5352	12.8591	12.4119	12.4228	12.4328	12.4483	12.1903	12.2633	12.5757	12.8389	24.1507	23.5366	24.1419	23.5418	23.6329	21.7089	23.1168	23.0337	24.3689	23.9205	24.1191	23.8912	22.6421	23.1194	22.8541	23.3853	0.504542078	0.589181067	0.439707067	0.342963025	0.335684792	0.420868621	0.437385259	0.423	-0.547	-0.445	-0.241	0.409	0.294	0.381163265306	0.261938308458	0.355032298137	0.55676613688	0.395951576293	0.515495791583
ENSG00000114209	10.8971	10.9429	10.9892	11.0865	10.9444	10.8174	10.7794	10.751	11.0972	11.1145	11.1314	11.1629	10.984	11.0533	11.0693	11.0756	17.7211	20.8721	19.9748	19.8643	19.0028	19.4448	18.2569	19.7399	21.1101	20.6744	21.0838	20.3628	19.5494	20.3735	19.5742	20.5285	0.767081151	0.650348494	0.42375323	0.3441612963	0.406269261	0.3590511897	0.617730906	-0.469	-0.65	-0.374	0.326	-0.367	0.656	0.330453811029	0.190662182362	0.438053419668	0.487380723266	0.446549303944	0.18732519084
ENSG00000114302	7.14722	7.10825	7.06927	6.99108	6.58691	7.09672	7.60648	7.98879	7.18184	7.17412	7.16529	7.14013	6.78083	6.90941	7.01726	7.09592	21.0929	21.2466	20.8676	21.1478	21.0215	21.0175	21.4325	20.5891	21.5129	21.3504	21.9239	21.2681	20.8419	21.0629	20.4084	19.8708	0.534943385	0.523638014	0.497719008	0.489589891	0.508267553	0.486427574	0.214512075	-0.244	-0.254	-0.167	0.189	-0.243	-0.952	0.554555859204	0.547341267143	0.602965118302	0.591558769681	0.55534549216	0.0235447761194
ENSG00000114316	11.4468	11.4801	11.5133	11.5796	11.4819	11.4286	11.4745	11.5191	11.3251	11.3645	11.4039	11.4827	11.2975	11.2449	11.1869	11.1426	19.5675	20.601	19.5445	20.8418	18.8787	18.7793	18.6723	17.972	20.9087	20.0317	20.62	20.9987	19.3403	19.8014	19.2472	19.3453	0.699273066	0.728282266	0.7623423	0.26628654	0.353937152	0.328197696	0.322594701	0.353	0.391	-0.966	0.45	-0.26	-0.231	0.460526721664	0.417331828442	0.0170515463918	0.35021062679	0.542161605585	0.564068210263
ENSG00000114353	15.1843	15.2409	15.2977	15.413	14.5741	14.9072	15.0416	15.1602	15.3758	15.3198	15.2636	15.1517	15.1353	14.9659	14.8942	14.8501	23.9595	23.7485	24.0232	24.1133	23.8528	23.4113	23.8942	23.8185	23.5617	23.7618	23.7139	23.8781	23.9827	23.2864	23.7641	23.5613	0.48824132	0.495721492	0.497168451	0.487217957	0.446804208	0.554871361	0.523854203	0.17	0.12	-0.173	-0.308	0.498	-0.27	0.601728791324	0.622412949294	0.600294490407	0.504085438547	0.303313480885	0.535095054282
ENSG00000114391	16.6591	16.6179	16.5768	16.4958	15.7605	16.1795	16.4322	16.6035	16.7531	16.719	16.6848	16.616	16.4762	16.4265	16.4625	16.4902	25.2288	25.2616	25.4659	25.4891	25.1547	25.1528	25.2699	24.3058	25.4853	25.3195	25.4599	25.5406	25.5382	25.5758	25.4237	25.4017	0.489265214	0.509163448	0.513336434	0.5145291	0.531049118	0.529216917	0.366948444	0.223	0.158	0.134	0.197	-0.242	-0.778	0.569609441624	0.607611731605	0.617930904933	0.587405523934	0.556067483997	0.1164914361
ENSG00000114416	12.0088	12.0094	12.0101	12.0119	11.9828	12.0956	12.1639	12.2096	12.0698	12.0624	12.0552	12.0409	12.2618	12.216	12.1772	12.1493	19.7004	21.1843	20.8913	20.5498	20.8269	19.5068	19.6755	19.5934	21.0965	21.4216	21.0906	21.1195	21.3152	20.5177	20.5021	20.4149	0.789629215	0.624897472	0.576830199	0.581314448	0.285387446	0.316626534	0.324442679	-0.578	-0.366	0.368	-0.902	0.288	0.204	0.238958896396	0.447695810915	0.445140268849	0.0513455149502	0.520906895208	0.582698874475
ENSG00000114491	12.3996	12.4641	12.529	12.661	12.5721	12.4762	12.5023	12.5307	12.6725	12.646	12.6194	12.5653	12.0299	12.2251	12.3574	12.4478	22.0028	22.127	22.4472	22.1396	21.6006	21.6005	21.6337	21.3061	21.8217	21.6493	22.0827	21.6402	20.9519	21.174	21.5618	21.2007	0.59851306	0.680451429	0.425240957	0.360672935	0.453926033	0.479908551	0.42159828	0.406	-0.837	-0.349	0.543	0.263	-0.34	0.399496037642	0.0850074906367	0.464745792426	0.264677783227	0.540346054486	0.473978315263
ENSG00000114573	12.41	12.4082	12.4067	12.4036	12.1999	11.9166	12.1437	12.3611	12.5086	12.4387	12.3687	12.2288	12.0339	12.0344	12.3522	12.4714	23.8445	23.8107	23.8286	23.694	23.2063	23.2887	23.1921	23.2843	24.4074	23.733	24.1488	23.9494	23.5045	23.4718	23.5134	23.5429	0.503106492	0.532459946	0.498709738	0.47466692	0.494260933	0.501787788	0.507339342	0.235	-0.249	-0.219	0.198	0.148	0.163	0.561546990496	0.551091313536	0.572329358717	0.586682239491	0.611981419484	0.605178857586
ENSG00000114686	12.4149	12.4142	12.4143	12.4186	12.2342	12.5325	12.6368	12.6961	12.6154	12.5598	12.5041	12.3923	12.7286	12.7807	12.7743	12.7647	20.1482	21.0394	20.8537	20.9949	20.8135	20.6466	21.0417	21.245	19.8892	19.414	19.5077	19.7698	20.3284	19.3804	20.2283	19.9848	0.517575149	0.51491159	0.526796815	0.535114189	0.490575791	0.554836918	0.55012047	-0.182	0.191	0.209	-0.271	0.343	-0.255	0.595657201905	0.590537018302	0.579044929646	0.534461454677	0.471014576271	0.546146750285
ENSG00000114767	10.7586	10.6624	10.5662	10.3736	10.5335	10.6212	10.5597	10.5348	10.8505	10.7637	10.6777	10.5066	10.6668	10.6124	10.6877	10.7564	19.4464	20.8181	20.7525	21.0055	21.2696	19.7321	20.5132	17.8667	20.5005	20.5959	20.6929	20.4068	20.7462	19.9365	20.6785	19.6787	0.597490452	0.559027012	0.55434145	0.538914879	0.3865465667	0.49811055	0.1229669078	-0.352	-0.347	-0.375	-0.534	0.448	-0.907	0.461491525424	0.467009179079	0.436451020408	0.272	0.352416614223	0.0478817204301
ENSG00000114850	8.33224	8.21744	8.10191	7.86633	8.20843	9.27647	8.76377	8.60192	8.14308	8.12553	8.10715	8.06375	9.39665	8.99813	8.81861	8.70958	18.5443	18.0155	16.162	17.2867	16.9151	17.7857	18.4112	18.7897	20.303	19.5301	20.2242	17.4586	20.4567	19.5472	20.7876	19.4657	0.3516904431	0.3071101647	0.305029767	0.522625222	0.480575276	0.509616412	0.492334236	-0.335	-0.315	0.655	-0.359	0.369	-0.366	0.478597949886	0.497629939768	0.187920912548	0.454558148148	0.443900960973	0.447695810915
ENSG00000114942	16.0972	16.0645	16.0324	15.9685	16.0733	16.1533	16.2193	16.2672	16.0122	16.0124	16.0125	16.0137	16.095	16.1944	16.2226	16.2357	25.0831	25.233	24.992	25.1617	24.9019	25.3049	25.0588	24.6324	25.9639	25.4008	25.4991	25.6523	25.1025	24.9546	25.018	24.9683	0.504815896	0.512596542	0.52151748	0.474844084	0.469104848	0.431036735	0.383161921	0.192	0.182	-0.353	-0.195	-0.362	-0.39	0.589995666605	0.595657201905	0.460526721664	0.588289285382	0.451926934636	0.418791666667
ENSG00000114978	9.21605	9.07904	8.94204	8.66803	8.62671	8.89427	8.85569	8.87027	9.12557	9.15311	9.18101	9.23657	9.04505	9.03481	9.11174	9.18161	20.8902	20.6117	20.1981	20.411	20.1547	18.6222	18.2491	19.1592	20.2982	19.2232	20.6934	19.6932	19.7355	18.345	18.9051	19.342	0.474044299	0.582536949	0.521333786	0.448426568	0.19771296	0.2410671161	0.432604884	0.454	-0.366	-0.435	-0.788	0.328	0.633	0.346176298701	0.447695810915	0.365791115034	0.111217753121	0.485464952172	0.201525506639
ENSG00000115073	9.51848	9.49596	9.47341	9.43124	9.2012	9.36442	9.51206	9.60872	9.59355	9.49842	9.40319	9.21281	9.69356	9.69615	9.67353	9.65323	23.8221	23.5304	23.3991	23.7234	23.3784	23.0423	22.632	21.9129	24.1272	23.6395	24.184	24.0098	23.3781	22.8568	23.2156	22.8352	0.514747636	0.609721217	0.623656199	0.43350845	0.344789264	0.334069702	0.25882169	0.438	0.33	-0.686	-0.45	-0.223	-0.518	0.362366956001	0.483293828336	0.168754098361	0.35021062679	0.569609441624	0.285593130779
ENSG00000115091	12.6556	12.695	12.7352	12.8175	12.4768	12.4774	12.4262	12.3753	12.7319	12.7469	12.7617	12.7936	12.5721	12.5198	12.4124	12.3203	25.5747	25.4335	25.4966	25.4034	25.3521	25.3679	25.0485	24.5339	25.8661	25.5907	25.701	25.6309	25.4328	25.0621	24.9327	25.2773	0.469018112	0.473881198	0.45352897	0.43117601	0.41741689	0.405791825	0.403077883	0.185	-0.238	-0.276	-0.231	-0.195	-0.163	0.593900099629	0.559005560308	0.53029516508	0.564068210263	0.588289285382	0.605178857586
ENSG00000115128	12.9075	12.8551	12.8028	12.6998	11.9154	12.4013	12.8025	13.0881	12.9129	12.8844	12.8561	12.8023	12.9454	12.7135	12.8321	12.9597	18.9372	18.5807	20.3116	20.2215	20.2278	21.0001	19.9418	20.7477	19.8842	18.1034	17.6381	18.8824	21.0092	21.0589	21.7303	21.0139	0.1369566265	0.2141257702	0.488258336	0.778201121	0.796270894	0.762738644	0.717935248	0.451	0.687	0.691	0.288	-0.314	-0.357	0.349384984026	0.168129116118	0.165229000884	0.520906895208	0.498670124178	0.456374656153
ENSG00000115159	9.39837	9.37033	9.34243	9.28657	9.47439	9.47464	9.54992	9.57815	9.32718	9.30308	9.2787	9.22792	8.84571	9.15773	9.41062	9.5925	23.8139	23.8799	24.1479	23.8013	23.8591	23.7585	23.8501	24.2726	23.0114	23.0556	23.0406	23.0758	23.7855	23.3985	23.6975	22.9488	0.551904775	0.556815812	0.559759631	0.599701429	0.571696822	0.573801045	0.546734852	0.203	0.147	0.271	-0.21	0.204	-0.277	0.583347945987	0.612462579352	0.534461454677	0.57855247544	0.582698874475	0.529289123679
ENSG00000115183	10.5337	10.6005	10.6682	10.8075	11.6994	11.0105	10.6043	10.2983	10.75	10.8336	10.9173	11.0848	10.7647	10.5698	10.4179	10.311	21.9184	22.7107	21.9406	22.7349	22.1343	21.6158	22.5613	21.482	16.2098	19.8893	20.9652	20.6969	21.2254	20.5716	20.4676	20.9316	0.635672866	0.620499887	0.576527048	0.509529388	0.4202923294	0.477016345	0.5058809403	-0.37	-0.35	-0.391	-0.406	0.344	0.361	0.442910291798	0.463569160198	0.417331828442	0.399496037642	0.469942379816	0.452934989725
ENSG00000115211	10.043	10.0119	9.98075	9.91968	10.0343	10.0292	9.98576	9.94379	10.2776	10.1254	9.97309	9.66819	10.1592	9.86157	9.94429	9.95177	21.748	20.0073	20.0983	19.8964	20.9859	19.3372	18.5426	19.7488	21.5745	19.9673	21.3844	20.186	19.9886	20.1018	19.5728	19.5944	0.2981783085	0.60681235	0.5426823	0.555150316	0.365409967	0.3242354647	0.449348901	0.732	-0.434	0.405	-0.597	-0.312	0.47	0.142996865204	0.367187846918	0.400787945879	0.226525045263	0.500463753437	0.329467702083
ENSG00000115233	13.1112	13.1417	13.1724	13.235	13.2853	13.1527	13.1086	13.0849	13.1484	13.1336	13.1185	13.0879	13.06	13.2178	13.1904	13.1485	21.7669	22.607	22.3789	22.5806	22.1898	21.6954	22.036	20.3542	22.6364	22.0633	22.1225	22.4894	21.1974	21.8392	21.8397	22.1475	0.599704639	0.565621951	0.558641552	0.374953532	0.394052801	0.394830966	0.325430256	-0.364	-0.373	-0.68	0.285	0.252	-0.37	0.45007152343	0.439149869242	0.171142614601	0.523198742623	0.548819327258	0.442910291798
ENSG00000115241	11.3845	11.4444	11.5038	11.6235	11.6296	11.4529	11.4219	11.3984	11.7111	11.5423	11.3735	11.0361	11.5056	11.4976	11.4626	11.4332	23.6282	23.4124	23.847	23.6111	22.9845	21.8298	22.4117	20.9652	23.0484	22.671	22.935	22.8376	22.3817	21.9583	21.4836	21.9274	0.552797047	0.628357854	0.607705897	0.332841716	0.2349912955	0.234212497	0.2261622165	0.386	-0.352	-0.772	-0.461	-0.133	-0.149	0.42347147541	0.461491525424	0.120185750636	0.338380148548	0.618254649266	0.611540499748
ENSG00000115268	16.7672	16.7385	16.7099	16.6542	16.1433	16.3172	16.4295	16.5116	16.7454	16.7235	16.7023	16.6623	16.6597	16.3896	16.4605	16.5486	23.9725	24.6167	24.1651	24.7297	24.1999	23.9004	23.6191	22.5304	25.2302	24.7869	25.294	25.4136	24.7652	24.591	24.4742	24.6218	0.595045871	0.599885121	0.63089272	0.44767347	0.421307603	0.401414253	0.347977298	0.274	0.334	-0.709	-0.293	-0.229	-0.359	0.531984555038	0.479383182113	0.155980151229	0.516634262948	0.565556326362	0.454558148148
ENSG00000115275	12.8222	12.7058	12.5878	12.3455	12.7591	13.1946	13.1424	13.0549	12.8256	12.748	12.6708	12.5128	13.1709	13.0241	13.0141	13.0177	20.3759	20.6427	21.1596	20.7314	20.686	20.7084	20.9592	21.184	20.7473	20.6158	20.2864	20.5697	20.8892	20.3511	20.6126	19.8532	0.551175097	0.560733213	0.563656578	0.582185306	0.469262086	0.459058922	0.421763889	0.207	0.204	0.281	-0.609	-0.234	-0.301	0.580478457831	0.582698874475	0.526393438486	0.217802030457	0.562210819914	0.509718044077
ENSG00000115286	11.7715	11.6107	11.4498	11.1281	11.1241	11.2114	11.2666	11.3052	11.5298	11.4907	11.4523	11.3755	11.5244	11.1993	11.3046	11.4298	19.5152	19.5988	19.3425	19.0412	19.7249	20.0756	18.6959	18.4941	19.5186	19.3769	19.2872	19.6185	19.6078	18.5613	17.958	18.0579	0.446602123	0.451355002	0.493437474	0.612821058	0.423883263	0.2368549784	0.245354286	0.205	0.323	0.445	-0.538	-0.739	0.175	0.581946970422	0.4900500306	0.355032298137	0.268688760807	0.139344456405	0.599318748343
ENSG00000115306	10.5403	10.4874	10.4351	10.3306	10.8651	10.5136	10.1632	9.89953	10.1933	10.2677	10.3421	10.4924	10.2939	10.2932	9.99749	9.88661	26.4799	26.7675	26.7853	26.5737	26.3894	25.84	25.6514	24.9291	26.6036	26.5154	26.316	26.4954	25.9481	25.0918	25.1688	24.7493	0.595229434	0.564358377	0.552072193	0.371634509	0.24244923	0.242995518	0.236036124	-0.301	-0.289	-0.666	-0.643	0.124	-0.128	0.509718044077	0.52001409002	0.180555821372	0.19537808418	0.621489330864	0.620142313608
ENSG00000115307	12.0547	12.0894	12.1238	12.1923	11.8956	12.2094	12.4303	12.5834	12.2601	12.1129	11.9654	11.6702	12.5466	12.5494	12.3349	12.2545	19.4385	19.3418	19.7949	19.1172	19.1677	18.8068	16.161	17.6319	19.794	19.9492	19.5497	19.9287	19.9373	19.8434	20.0706	17.663	0.568459099	0.556743061	0.542673649	0.527052393	0.442978399	0.1372186342	0.1287185397	-0.346	-0.31	-0.325	-0.427	-0.849	-0.165	0.468034274888	0.502402549048	0.488331686226	0.375981838502	0.0792449392713	0.60418265986
ENSG00000115364	11.4474	11.4331	11.4188	11.3898	10.9943	11.1077	11.2639	11.3818	11.4003	11.4323	11.4643	11.5293	11.2395	11.3462	11.3674	11.3758	20.0969	20.4934	20.597	20.3151	20.1971	19.8779	20.0087	20.6619	19.8017	20.2199	19.9401	20.3105	20.0498	19.7934	19.9121	19.4373	0.633044713	0.528724134	0.504928073	0.487520731	0.484580716	0.498385492	0.513408911	-0.5	-0.247	-0.228	-0.14	0.182	0.195	0.301066748067	0.552618101545	0.566171363683	0.615515588915	0.595657201905	0.588289285382
ENSG00000115365	9.5707	9.6916	9.81311	10.0605	9.47737	9.19799	9.54845	9.7217	10.0175	9.78808	9.55746	9.09199	9.08665	9.33161	9.71963	10.0303	22.889	22.7943	22.6817	22.9694	21.6376	22.3945	22.0491	21.4163	23.4454	22.9268	23.1546	23.2194	22.3971	22.4208	22.2735	22.5956	0.502441875	0.546657256	0.591568761	0.2841061968	0.524508228	0.417384907	0.379966817	0.336	0.378	-0.875	0.731	-0.426	-0.305	0.477840712302	0.432760874089	0.0673496332518	0.144289555326	0.377511228167	0.506259820426
ENSG00000115368	10.5658	10.6254	10.6855	10.8056	10.6082	10.658	10.7652	10.8499	10.7574	10.821	10.8848	11.0163	10.5737	10.7261	10.7227	10.7064	18.3226	19.1219	20.0171	19.4734	19.0435	18.7206	19.9823	18.2056	20.2857	20.0864	19.5408	19.8455	19.0518	19.1746	19.6317	18.7255	0.665363257	0.628864541	0.496042128	0.390466205	0.451210791	0.683896591	0.2355692121	-0.364	-0.503	-0.473	0.369	0.624	-0.897	0.45007152343	0.299041940789	0.326262553802	0.443900960973	0.207351551957	0.0536613924051
ENSG00000115414	7.09792	7.03125	6.96437	6.82666	6.63587	7.04825	6.82966	6.59603	6.41721	6.63968	6.86169	7.30354	6.54551	6.5666	6.48311	6.41081	17.9865	16.9381	20.9165	20.0203	17.3011	17.9366	17.9609	18.9584	21.0336	19.9942	20.2173	20.8197	22.1643	21.3054	22.9231	21.2275	0.4625409634	0.697987309	0.649123651	0.5569696577	0.607505037	0.665806994	0.652666868	0.62	-0.372	-0.427	0.405	0.411	-0.365	0.210836748182	0.440425974026	0.375981838502	0.400787945879	0.393681041082	0.448657426878
ENSG00000115415	8.6662	8.73845	8.81077	8.95735	9.28518	9.07677	8.87213	8.71965	8.85528	8.81899	8.78266	8.71104	9.07964	9.05113	8.94257	8.85191	22.4859	22.8431	22.3893	22.8782	21.5711	21.7639	21.6034	21.3417	23.4166	23.0792	23.2669	23.1491	22.4198	22.1195	22.7691	22.4927	0.619374433	0.606026544	0.614625786	0.284297978	0.303897114	0.334255218	0.333809311	-0.263	0.285	-0.981	0.24	0.29	-0.162	0.540346054486	0.523198742623	0.00906	0.557441702586	0.519117577664	0.605696982722
ENSG00000115419	10.4725	10.4495	10.4265	10.3801	10.1894	10.3905	10.3654	10.3335	10.19	10.2439	10.2979	10.4078	10.053	10.0129	9.98963	9.96305	25.4829	25.0436	25.1389	25.4969	25.3143	25.5643	25.2288	25.3905	25.3438	25.3006	25.3899	25.5843	25.5462	25.0649	25.4112	24.946	0.450674044	0.481651631	0.496245392	0.489058055	0.48720954	0.484853861	0.478901145	0.293	0.179	-0.142	-0.104	-0.116	-0.139	0.516634262948	0.597508465514	0.614610812153	0.62640007902	0.623551561626	0.616038765432
ENSG00000115468	5.58156	5.5773	5.57286	5.56511	5.39478	5.11571	5.1326	5.1204	5.23883	5.16119	5.08346	4.92674	4.78064	5.02468	5.07053	5.08839	19.6222	18.1793	18.7739	19.1407	19.7901	20.2841	19.1492	18.7539	18.6343	19.1319	19.1152	19.0045	19.4648	18.4759	17.3863	18.957	0.3966930961	0.492614463	0.573751778	0.655501729	0.568749443	0.3313629908	0.545587769	0.443	0.414	0.428	-0.461	-0.658	0.59	0.357976132191	0.390826255826	0.374658509142	0.338380148548	0.185770239013	0.230973513832
ENSG00000115484	14.6821	14.7231	14.7645	14.8499	14.8388	14.7757	14.8133	14.8492	14.8196	14.7813	14.7429	14.6659	14.7274	14.8256	14.8255	14.8153	25.958	25.9434	25.7808	25.9994	25.7017	25.7687	25.7878	25.1712	26.3862	26.2516	26.5327	26.327	26.1112	25.8985	25.8152	25.8218	0.539791502	0.545384865	0.529319491	0.466797957	0.443075219	0.424713328	0.377493665	0.218	-0.242	-0.501	-0.249	-0.238	-0.383	0.573017077799	0.556067483997	0.300257866776	0.551091313536	0.559005560308	0.426763480129
ENSG00000115524	9.47991	9.37731	9.27555	9.07255	9.18518	9.53062	9.49572	9.461	9.19955	9.30286	9.40608	9.61118	9.43421	9.46856	9.49929	9.51754	24.7604	24.8823	24.8531	24.5783	24.6856	24.5897	24.3347	24.1914	24.9546	24.864	24.6829	24.8147	24.4091	24.2631	24.3767	23.6582	0.569601026	0.537931086	0.519885756	0.490800794	0.464354354	0.405456914	0.306316905	-0.291	-0.245	-0.298	-0.296	-0.435	-0.59	0.518292654028	0.553808097433	0.512432179226	0.513917418833	0.365791115034	0.230973513832
ENSG00000115541	16.1417	16.0642	15.9867	15.8316	14.6106	15.1318	15.7089	16.1482	16.0739	16.0156	15.9572	15.8403	15.2819	15.2822	15.8007	15.9951	27.0384	27.0224	26.9923	27.3093	27.1519	27.2746	27.4436	27.5231	26.9072	26.9088	27.2232	27.0601	27.3777	27.1529	27.3023	27.3536	0.430399461	0.459828693	0.484186641	0.592825884	0.688944967	0.706925585	0.680642066	0.293	0.255	0.602	0.511	0.26	-0.246	0.516634262948	0.546146750285	0.223226937269	0.292296595745	0.542161605585	0.553257454065
ENSG00000115641	9.78185	9.77227	9.76289	9.74523	8.79988	8.97001	9.11871	9.228	9.59604	9.66667	9.73724	9.87831	8.71989	8.88236	8.94489	8.97988	22.2082	22.7091	22.4427	22.1352	21.8382	20.9801	20.7764	20.6916	22.7172	22.0768	22.2751	22.302	22.0343	21.8732	21.7226	21.3044	0.502820452	0.471334994	0.414773261	0.371932969	0.367608229	0.364265832	0.354044188	-0.276	-0.427	-0.392	-0.147	-0.127	-0.165	0.53029516508	0.375981838502	0.416162616398	0.612462579352	0.620427427832	0.60418265986
ENSG00000115677	12.4633	12.4848	12.5054	12.5458	12.8322	13.2668	13.1512	12.9958	12.7608	12.6553	12.5496	12.337	13.4502	13.4525	12.9351	12.7411	23.6725	23.6322	23.4953	23.2758	22.9898	22.7488	23.3873	22.6744	24.13	23.8072	23.8041	23.7504	23.0412	23.2805	23.5077	23.6598	0.531231629	0.533914765	0.509702816	0.338507945	0.324349503	0.327897699	0.326030787	0.226	-0.279	-0.843	-0.19	0.11	-0.114	0.567756812129	0.527723934837	0.0822640776699	0.591158107117	0.625219620605	0.624154446924
