Gene Group	H/L LPS R1 0h	H/L LPS R1 01h	H/L LPS R1 02h	H/L LPS R1 04h	H/L LPS R1 06h	H/L LPS R1 09h	H/L LPS R1 12h	H/L LPS R2 0h	H/L LPS R2 01h	H/L LPS R2 02h	H/L LPS R2 04h	H/L LPS R2 06h	H/L LPS R2 09h	H/L LPS R2 12h
0610009D07Rik	1.6489883556615	1.57030886447942	1.62280209263057	1.5926346479119	1.63562866940934	1.68420464168381	1.67337345088686	1.60869940664727	1.58359007566373	1.69906414743309	1.57138359844049	1.60242242572919	1.74935083728986	1.7529315338772
1110004F10Rik	2.11412300477449	2.11599560575121	2.15908276274619	2.25107862562268	2.32655841481684	2.38211241422714	2.31878693155267	2.14044790491917	2.12545824267866	2.14259106126486	2.26265958063819	2.31857938939072	2.39478908543162	2.32272884096293
1110005A23Rik;Sarnp	3.91537853218059	3.83416409383169	3.98420084609708	4.06115711357658	4.30072107277628	4.42265646021376	4.43234697793318	3.84190221380792	4.0056948170694	4.03681117704042	4.17318547963467	4.20981053613044	4.2824071576425	4.42595614083665
1110059G10Rik;mKIAA1143	0.344823760918184	0.498881487516875	0.672234996939738	0.777577304151926	1.04968306669375	1.20531313901045	1.327109478664	0.286359710088099	0.376234630176914	0.548464454146552	0.743352137737768	0.855230759693447	1.09552872644102	1.32229616602818
1810013D10Rik	3.58216868873217	3.72019769895454	3.74316545113109	3.85807616101155	3.95154941837617	4.07193466952116	4.04767329695895	3.57421942776045	3.81569459328054	3.7325311877003	3.8736738069707	3.89036640778921	3.96746788352794	4.12281243408356
1810029B16Rik	2.0676420340077	2.02123553436825	2.03808283056366	2.10796586535958	2.56113180831982	2.97739538795512	3.33324954306728	1.73287982640997	1.88234516750584	1.75476224106156	1.93872722065964	2.485484365731	2.99576946456165	3.2358673132016
2010106G01Rik	0.156727298957252	0.287870305804032	0.485133752650674	1.02934224126315	1.26089870424947	1.71880514843908	1.89601244991958	0.0804317012387307	0.173392463049979	0.525871462362865	0.963787328141017	1.24998564830408	1.62376607214848	1.90341684901673
2310014H01Rik	1.99085195023634	2.15361969436229	2.12964295262742	2.26163224702071	2.25400870322624	2.27286193514445	2.36525266315095	1.956689011992	2.1572835105721	2.15846575673249	2.31067204709225	2.27956235650457	2.23697527213732	2.28158112140998
2310022A10Rik	-0.77730301218617	-0.43873755835412	-0.190159268703251	0.212020866695606	0.413988516209781	0.659243570424682	1.00058191071754	-0.927490342861708	-0.585957820494243	-0.223537533456525	0.0930128496274268	0.469435520608924	0.60357298697658	0.953592804741873
2310045N01Rik	0.748446694552305	0.678341336013618	0.685719690985104	0.773096580317275	0.741806654039925	0.762457427477623	1.46040888735758	0.65585018202705	0.65006411313326	0.76162654147469	0.796960762634222	0.682799814396252	0.727044731012125	1.33881728217118
2310047M10Rik	-0.501009521875474	-0.350451606538878	-0.358374943079071	-0.112003702387869	-0.0883448480604398	0.0454385933955062	0.172055670805397	-0.461071406257959	-0.428077036761076	-0.353655632429833	-0.215664678997535	-0.111139991167337	0.00382588356477153	0.0165216503902326
2400003C14Rik	2.90590728351825	2.87162483693593	3.01700583222144	3.09752711474128	3.25267147064997	3.51457195222655	3.77193440588047	2.90440667871758	2.94545812049805	2.94525255352872	3.12123599925428	3.2262683976118	3.4515703423964	3.76778019529436
2410001C21Rik	0.475737029811625	0.776179034403296	1.25322080168454	1.82373350254434	2.01917408984494	2.16577641285396	2.42106539732752	0.453863666214146	0.834867208692246	1.38857297954722	1.81167182869448	1.97831206224164	2.1757624532438	2.40733097891424
2500003M10Rik;Fop	1.45938794095917	1.54045950019608	1.61730028148466	1.8827959144924	2.00590905061998	2.22213318073537	2.40320436042509	1.44061775443739	1.62961342656653	1.7478515256252	1.90643445004067	2.09235304009824	2.28868177306979	2.46835607043447
2610029G23Rik	2.32877930587717	2.24895740451521	2.28824894095437	2.35476490999297	2.36700333196991	2.42348031020554	2.50806913013576	2.22406272155623	2.31825638001918	2.33585394234792	2.28727207306316	2.40601776128005	2.43085048028189	2.57088237315137
2610101N10Rik	0.963847703968201	0.908840850188924	0.921911697832941	0.993326887047127	1.05818170629875	1.32506488522329	1.59336439605451	0.814048895921719	0.870037416087841	0.85025158358394	0.983309077761517	1.01282831147266	1.37038265264924	1.63925118813107
3110003A17Rik	2.32488216267771	2.22862107638964	2.36148045552166	2.5136293835433	2.55405441562165	2.83322573940258	3.00693762467425	2.20962783650393	2.20406808459058	2.31226741302537	2.38664861711687	2.55623425285993	2.77686947741006	3.01365494151602
6330577E15Rik	0.206852850581687	0.667106766202367	1.08009000372217	1.16024952101659	1.13353120376158	1.15118305833556	1.36828963917579	0.329693562140834	0.800032835716318	0.994891854911199	1.16770765169086	1.15053892733086	1.2617495631063	1.2961623791746
9630033F20Rik	1.88557789457815	1.87503297146689	1.88145337243647	1.84464078226579	1.92521093063818	1.95330772332251	1.99234360756345	1.8667617130457	1.81180644019063	1.92638550028285	1.79255145840708	1.82162202064998	1.93802549702196	1.94526928092104
A230051G13Rik	-1.19515585757697	-0.545969378310271	-0.57223589463358	-0.564226780687116	-0.59396985094491	-0.520978836215227	-0.567584564657013	-1.2653721796747	-0.612179274921837	-0.630015362242863	-0.666181701246511	-0.653544669571827	-0.635057270294174	-0.553343822340598
AI314180;mKIAA0368	0.797584265865795	0.700424569279817	0.704763173276473	0.938846263911412	0.932757415127046	1.02361509179133	1.30883435551283	0.681954003493074	0.780325112475211	0.834024766374073	0.829541236159083	0.999359997430782	1.07303301109359	1.21911400044041
