Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Zadh2	56.01431358	48.24446672	57.09312017	44.47798145	45.951527	58.7115048	62.88680823	46.57877385	48.66585019	54.02584345	36.273078	41.33057793	53.20118646	52.84569556
1810063B05Rik	40.80630163	27.56124835	10.95907787	11.7681524	21.82801673	16.5426548	22.4697692	29.48184738	15.41733087	16.25018154	10.71288841	13.77455515	9.807594958	18.88778335
Eif4b	200.8159105	153.6432412	126.9865796	87.49780394	73.23595015	70.73466377	93.91009948	188.5171018	147.265899	135.7787187	80.47650229	65.47143678	75.8031192	75.4872835
Ubash3b	116.5877655	159.4374717	101.0676033	113.2824739	114.3171693	58.52635667	60.89023464	162.0941106	235.6299805	164.7330719	158.0286633	108.9850778	88.44026548	88.79057387
Ptbp1	220.2899953	180.4828744	213.3470432	146.6892964	114.2341654	143.2155222	135.2422126	148.9968601	165.9871609	197.9563528	104.0291063	131.8721097	88.54713873	95.4700838
Aars	54.43948336	36.81179617	35.19120838	32.63942564	30.13519589	34.48918973	50.65415654	35.72390831	25.97602508	26.50145532	18.30019242	26.79839796	27.1561531	29.14770872
Bola2	586.0426703	582.432147	498.5382883	510.0174248	385.3823796	364.6707179	284.0840492	959.7855301	550.1140467	505.3305319	638.0084533	408.7336473	556.3222743	447.0149741
Smndc1	73.01598238	96.51502925	79.59138775	76.83169597	69.36084109	58.68106955	62.85233825	84.58858376	115.6952433	86.39067041	87.40948302	63.51247795	57.56099795	91.04048873
Fto	34.82779857	33.71060609	24.02509449	12.91272172	15.94054558	14.44457017	16.41653012	26.41100445	28.62305071	22.36264122	13.37279082	18.99824337	15.61635498	17.63956267
A830007P12Rik	70.44471228	39.31371689	13.81622768	15.60311774	25.94250018	45.01687596	57.91686255	67.84439741	34.4670607	24.75281047	27.96380267	32.97663881	67.18797334	58.91973539
Pck2	32.54417711	99.11192742	97.76767122	58.74640102	35.45136215	18.48356333	23.56344829	144.3735403	387.0416332	179.2873734	275.8758026	103.0666146	341.558237	195.5712337
Stx7	250.0618065	192.268027	181.9454151	135.0983205	180.6101822	205.2381423	191.5754251	188.1405618	179.0501524	163.6223866	104.9649514	129.9028004	146.9800447	157.8679892
Wasf2;AK199358	116.0595506	108.913429	99.89049222	76.22346546	71.37949826	84.10837966	87.95691259	98.5147267	173.9904774	99.01979064	87.48981491	66.99218865	64.80837041	81.1065814
Tiprl	22.3001054	20.73069329	17.68439466	21.56016572	27.22559746	21.11845992	21.83838861	21.19343817	18.9112978	16.39408867	22.372518	25.53115098	18.33974366	19.22365971
Slc25a12	51.47800156	35.68655527	37.46859539	69.54756416	98.88058391	105.3484686	83.87373038	24.88622644	16.94017492	28.95438802	52.57827545	93.02213716	57.65244646	51.13867889
F13a1	9.215961022	31.77927764	11.84970979	12.08405218	6.944413696	5.703332119	3.62448641	10.74254809	10.953977	11.91951387	18.41281168	5.629687807	11.44130735	7.805931565
Sephs1	20.2362878	19.38931582	14.16322711	20.64503963	19.6347834	16.60427151	13.49675037	15.37226841	8.2665535	14.30890418	14.31517057	16.15000857	10.85326322	6.923081067
Nup107	24.30052985	17.76975768	10.81048575	3.276622198	3.766790553	3.638161612	3.389382455	13.26867699	17.46091827	9.358034273	2.749687648	2.366558944	0.938951685	0.998108208
Vapb	47.11590816	41.27568604	39.58353321	31.5499399	32.85354657	39.0023949	41.00387142	56.32825117	39.13940123	48.26694443	34.17367623	35.28821996	44.16223348	49.37433815
Echs1	167.2741114	147.5844446	103.8303704	66.70754575	74.51737194	96.70931767	132.4723367	141.6130168	119.4999746	77.56553634	52.91328929	50.94513735	84.83248936	108.4513059
Cggbp1	91.10261034	82.26419845	102.612479	115.0105986	131.0655698	103.3059615	90.84779172	56.68106727	63.14124565	88.01833172	108.7215411	121.2056015	88.71979374	75.45952186
Tbl1xr1	43.23948928	39.83557831	30.09577755	24.38485658	36.87115088	32.58242374	27.11851972	68.3922218	59.94757805	46.94136082	32.51961669	45.20604831	50.26081888	39.97069691
Slu7	47.08804162	45.06406324	52.99648001	62.39946164	45.03957209	38.58404935	47.02960106	81.51607044	123.2648294	73.02837372	100.2520492	71.89755244	99.46024552	94.04858141
