Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Rpl27	7.31049	7.23018	7.10842	7.14187	7.15638	7.02217	6.91662	7.29362	7.18458	7.17731	7.16811	7.12763	6.95225	6.98264
Rpl27a	7.4694	7.47145	7.43055	7.44157	7.36893	7.20155	7.13492	7.58176	7.40096	7.37254	7.42551	7.34243	7.22642	7.16875
Rpl3	6.68783	6.59314	6.49658	6.38047	6.21495	6.15214	6.1577	6.49297	6.64582	6.67677	6.516	6.32089	6.0085	6.02186
Rpl30	7.4747	7.42908	7.35583	7.3359	7.34728	7.22954	7.12327	7.46057	7.30945	7.45174	7.45869	7.31243	7.17078	7.13195
Rpl32	8.2707	8.24013	8.16833	8.1545	8.04401	7.9011	7.83176	8.22554	8.21089	8.19938	8.15688	8.02702	7.9404	7.85043
Rpl35	8.10173	8.03668	7.98019	7.97715	7.93707	7.84751	7.76359	8.05935	7.98982	8.05336	8.07619	7.93192	7.7299	7.80338
Rpl36	7.76519	7.7882	7.69809	7.67494	7.60771	7.50841	7.46095	7.84551	7.72563	7.67939	7.67152	7.61712	7.54559	7.41874
Rpl4	7.1607	7.07012	7.07873	6.94846	6.76614	6.68943	6.70472	7.11189	7.24236	7.17579	7.04912	6.80291	6.45454	6.58168
Rpl6	7.65221	7.70987	7.70174	7.60283	7.40078	7.2557	7.21357	7.69559	7.75423	7.58565	7.50431	7.34572	7.34968	7.30153
Rpl7a	7.56711	7.53343	7.4073	7.37988	7.35244	7.24689	7.19335	7.48207	7.53028	7.54754	7.53108	7.33988	7.06341	7.18615
Rpl9	7.74122	7.74175	7.67727	7.63849	7.55653	7.49594	7.48411	7.80994	7.66934	7.69641	7.66372	7.51176	7.47324	7.5109
Rplp0	7.74623	7.64942	7.58229	7.57317	7.48035	7.39479	7.33587	7.7056	7.58356	7.57696	7.5502	7.49365	7.43561	7.41655
Rps10	7.80305	7.74153	7.71022	7.75373	7.6473	7.53096	7.48489	7.733	7.69967	7.73563	7.75452	7.69125	7.56235	7.49526
Rps11	7.47715	7.30856	7.21649	7.19531	7.08718	6.94059	6.86512	7.42812	7.42018	7.36017	7.23458	7.06446	6.77788	6.805
Rps13	7.55496	7.52877	7.48378	7.48793	7.36648	7.15766	7.05686	7.57036	7.34516	7.39564	7.45213	7.39312	7.24993	7.23008
Rps16	7.99927	7.90012	7.82473	7.83053	7.73564	7.60317	7.51977	7.93358	7.89946	7.85072	7.78221	7.74701	7.62761	7.57264
Rps17	7.62147	7.47863	7.41707	7.44694	7.39602	7.24121	7.09599	7.41735	7.59763	7.63952	7.56245	7.35843	7.01598	7.10597
Rps18	8.1161	8.12097	8.0372	7.99041	7.88006	7.71544	7.67821	8.13787	8.03477	8.01306	7.97928	7.89786	7.80649	7.66907
Rps20	7.99982	7.94577	7.96082	8.09313	8.15884	8.13972	8.11455	8.04939	7.9563	8.04231	8.11396	8.14893	8.04062	8.06112
Rps21	8.06728	8.11272	8.00716	8.02221	7.99055	7.75357	7.63916	8.15246	8.07341	7.97575	7.90809	7.88348	7.84868	7.75076
Rps24	8.15091	8.1465	8.12953	8.23094	8.33822	8.30071	8.24842	8.21496	8.16232	8.1227	8.16657	8.21494	8.31428	8.34946
Rps3;Snord15b	7.02409	6.92577	6.75984	6.66251	6.47233	6.42597	6.46912	6.65007	7.06475	6.86119	6.49797	6.46299	6.61812	6.58454
Rps4x	7.4917	7.39456	7.37022	7.38267	7.32542	7.24615	7.18508	7.47621	7.45212	7.47604	7.39061	7.27793	7.16313	7.15975
Rps6	7.12993	7.20055	7.18192	7.10809	6.90794	6.76259	6.78851	7.18934	7.19205	7.11063	7.04298	6.99914	6.8083	6.7371
Rps6ka4	4.28139	4.19603	4.14867	4.00045	4.06668	4.17619	4.16651	4.10995	4.19495	4.26762	4.04695	4.09072	4.1623	4.16343
Rps7	7.02303	6.95994	6.93065	6.86914	6.75576	6.68541	6.66021	6.95803	7.02531	7.03197	6.96981	6.84197	6.5069	6.55014
Rpsa	8.57581	8.87956	8.93402	8.83222	8.46062	8.0963	8.08521	8.8505	8.95392	8.66198	8.49877	8.31908	8.38421	8.19526
Rrbp1	6.05459	6.47203	6.6134	6.4273	6.19012	5.99439	6.07323	6.15469	6.5819	6.18461	6.20468	6.22638	6.25781	6.21501
Rsl1d1	4.718	4.82047	4.59909	4.10374	3.6706	3.65411	3.88907	4.75582	4.90847	4.55502	3.94945	3.71416	3.73793	3.83422
