ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000168676	11.4966575404	11.3158889394	11.1350310265	10.7722133288	10.3846467362	10.7851355985	11.2543226619	11.6131128758	11.1096240655	11.2543681965	11.3984803929	11.6877973061	9.495274894	12.2873968556	15.0820322594	17.1780088122
ENSG00000118523	9.8253028746	10.5018657025	11.1788332321	12.5376853025	8.0863115966	7.4910101638	7.8730337066	8.2713774513	9.743021562	10.2860439106	10.8290345321	11.9146525222	6.8686456873	7.4619389133	8.0551232464	8.4909037604
ENSG00000125968	14.4265654095	14.0278739402	13.6283620744	12.8230689788	9.7705125033	12.0415229207	13.2928380224	14.3763471854	13.8299884565	13.4758722857	13.120632336	12.4041502835	12.5582896967	13.3779798612	14.2274315603	14.8709232243
ENSG00000172183	8.9813397513	8.8832247963	8.7860166187	8.5922984608	11.2195225941	12.0280253224	11.4594045508	10.9495435245	8.6522976297	8.7381143185	8.8241485354	8.9970281023	12.9606399069	12.9623107976	11.03005641	10.3054610147
ENSG00000170345	7.3526316469	8.5802434942	9.8083572141	12.270437588	8.3944389207	7.2421535599	7.3464102825	7.5545809953	7.8435166995	8.8912648345	9.9387110672	12.0300301659	7.0592991948	7.4117282089	7.6248467821	7.7792652769
ENSG00000130487	5.5030355138	5.4792012228	5.4552579591	5.4071133054	8.8749324049	8.8787595337	8.8787595337	8.8787595337	5.5448202252	5.5837272636	5.6227272296	5.7010346446	10.0751167214	9.3845821627	8.6925465648	8.1735198664
ENSG00000070540	9.3382460909	9.5584572062	9.7815105936	10.2392586767	10.9762879351	11.3175767756	10.8660524975	10.4574562169	9.5550117896	9.7614190987	9.9682783922	10.3868907457	13.4295633563	12.0017191785	10.7866504277	9.9016836729
ENSG00000130513	12.0550954616	12.2622500747	12.4692898902	12.8843310082	16.1000189911	16.1009319396	14.2888088267	13.6092626593	12.0222273175	12.3468691414	12.6716946616	13.322227742	16.6214763506	15.9754549968	15.3476446509	14.8809024617
ENSG00000123358	7.4829751686	8.2094889986	8.9341881527	10.3850165763	6.9802247258	5.957500288	5.9390711904	5.9710768813	6.8512306597	7.7630514788	8.6708429267	10.4688838787	4.9525616964	5.5749512587	6.0822689477	6.4049593137
ENSG00000196171	6.3012867219	6.3055265989	6.3061930103	6.2832555033	6.0211005554	6.531251607	6.442218046	6.3212457186	6.6418771764	6.7408489392	6.8400438963	7.0399961793	7.3343386694	5.6442042969	6.109895779	6.1564833438
ENSG00000174951	6.0248519527	6.1687479149	6.3138964653	6.6098754176	10.161425258	8.2626200217	6.6307324739	5.4162628613	5.6678808847	5.8436863071	6.0188976638	6.3681363894	9.1778657466	8.0472258066	6.627382503	5.5610524198
ENSG00000197520	8.6345979045	8.631658235	8.6265769447	8.6107547381	7.8898343671	7.2097437408	8.1345582703	8.6618251261	8.4082908666	8.2238990819	8.0375057065	7.64976114	7.5113503561	8.1435405712	8.3496683002	8.451938414
ENSG00000128590	9.7200899723	10.4603345379	11.1988689838	12.6770490644	13.7537824164	12.8907166236	11.225954854	9.9031741496	9.6645556836	10.3958753172	11.1250969151	12.5845534119	13.1500090404	12.5169420782	11.038872196	9.8421615919
ENSG00000155660	10.2100054088	10.7887706087	11.3692314621	12.5389359425	12.7339863687	13.7105546851	13.4408738226	13.0975519047	10.3590067752	10.690148694	11.0229649394	11.6996517522	14.3272714273	13.3830243003	12.8346916885	12.4616814389
